code,DESCRIPCION,STOCK,location_id,Parent_location_id,CATEGORIA,COD.PROV,PRECIO,PROVEEDOR,code_ok,Codigo Categoria,Almacén,,categoria,alamcen,unidades,
1 - 0  7  3,"CODO en LATÓN Ø 50 3"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-073,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  7  4,"CODO en LATÓN Ø 40 3"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-074,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  7  5,"CODO en LATÓN Ø 32 3"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-075,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  7  6,"CODO en LATÓN Ø 125 2 1/2"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-076,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  7  7,"CODO en LATÓN Ø 110 2 1/2"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-077,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  7  8,"CODO en LATÓN Ø 90 2 1/2"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-078,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  7  9,"CODO en LATÓN Ø 75 2 1/2"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-079,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  8  0,"CODO en LATÓN Ø 63 2 1/2"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-080,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  8  1,"CODO en LATÓN Ø 50 2 1/2"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-081,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  8  2,"CODO en LATÓN Ø 40 2 1/2"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-082,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  8  3,"CODO en LATÓN Ø 32 2 1/2"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-083,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  8  4,"CODO en LATÓN Ø 125 2"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-084,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  8  5,"CODO en LATÓN Ø 110 2"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-085,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  8  6,"CODO en LATÓN Ø 90 2"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-086,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  8  7,"CODO en LATÓN Ø 75 2"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-087,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  8  8,"CODO en LATÓN Ø 63 2"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-088,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  8  9,"CODO en LATÓN Ø 50 2"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-089,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  9  0,"CODO en LATÓN Ø 40 2"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-090,1,Fontanería,FONTANERIA,FONTANERIA,1,,
